Transaction Amount,Payment Method,Product Category,Quantity,Customer Age,Device Used,Is Fraudulent,Account Age Days,Transaction Hour,Transaction Day,Transaction DOW,Transaction Month,Is Address Match
418.24,Credit Card,Groceries,1,26,Desktop,0,1168,0,26,Wednesday,11,1
2435.86,PayPal,Home,4,39,Tablet,0,540,9,5,Wednesday,8,1
2456.08,PayPal,Electronics,1,31,Mobile,0,489,0,17,Sunday,7,1
4689.44,PayPal,Sports,2,51,Desktop,0,759,18,2,Monday,3,1
2860.78,COD,Sports,4,34,Mobile,0,1805,12,16,Thursday,1,0
2370.08,Debit Card,Sports,4,38,Tablet,0,1687,18,1,Sunday,1,1
1338.54,Debit Card,Clothing,2,25,Mobile,0,642,14,13,Tuesday,2,1
1661.19,Debit Card,Sports,2,47,Mobile,0,1537,0,15,Friday,6,1
2605.76,COD,Home,2,45,Mobile,0,1917,8,30,Tuesday,4,0
2197.36,PayPal,Electronics,3,46,Mobile,0,568,0,6,Wednesday,5,1
112.95,Credit Card,Home,1,35,Desktop,0,18,1,8,Sunday,3,1
4132.33,PayPal,Groceries,4,57,Desktop,0,470,22,18,Friday,9,1
4481.32,PayPal,Home,4,49,Tablet,0,1665,22,5,Thursday,12,0
705.54,Credit Card,Electronics,2,27,Tablet,0,221,2,2,Sunday,1,1
2772.41,PayPal,Home,1,37,Mobile,0,530,9,15,Sunday,9,0
547.34,PayPal,Beauty,3,52,Desktop,0,1908,6,8,Tuesday,11,1
3362.84,Credit Card,Beauty,3,24,Tablet,0,411,10,21,Friday,6,1
1409.76,Credit Card,Beauty,3,36,Mobile,0,963,14,3,Friday,7,1
3298.82,PayPal,Home,1,63,Tablet,0,1769,9,1,Thursday,10,1
3636.34,PayPal,Beauty,3,40,Desktop,0,1695,19,7,Tuesday,8,0
3844.39,PayPal,Electronics,1,44,Mobile,1,615,1,26,Sunday,4,1
543.17,Debit Card,Beauty,2,53,Mobile,0,507,14,17,Tuesday,4,0
4580.48,PayPal,Groceries,3,34,Mobile,0,1171,17,9,Wednesday,1,0
1154.92,COD,Home,4,60,Mobile,0,652,13,18,Tuesday,10,1
191.88,Credit Card,Home,3,18,Mobile,0,1476,15,20,Saturday,5,0
2776.49,PayPal,Sports,1,42,Desktop,0,1356,14,14,Monday,11,1
1857.76,Credit Card,Clothing,3,49,Tablet,0,844,3,6,Thursday,5,1
4149.8,Credit Card,Groceries,1,30,Desktop,0,825,18,12,Saturday,7,0
4042.22,COD,Beauty,1,58,Tablet,0,211,6,27,Sunday,2,1
1589.11,Credit Card,Home,1,22,Mobile,0,1390,4,22,Tuesday,1,0
4764.73,PayPal,Clothing,4,51,Mobile,0,1845,13,11,Thursday,8,1
1458.13,PayPal,Groceries,2,50,Desktop,0,1753,15,27,Thursday,9,1
2577.71,COD,Beauty,3,58,Mobile,0,1298,9,6,Wednesday,5,0
1283.55,PayPal,Sports,4,28,Desktop,0,1458,1,6,Saturday,8,1
4680.54,PayPal,Electronics,4,26,Mobile,0,1785,23,1,Saturday,4,1
827.22,COD,Groceries,4,48,Desktop,0,445,19,3,Monday,9,1
229.33,COD,Beauty,1,68,Desktop,0,1537,11,10,Sunday,8,1
2178.31,PayPal,Electronics,2,58,Tablet,0,216,8,2,Wednesday,11,1
4961.92,Credit Card,Clothing,2,28,Mobile,0,1550,21,12,Saturday,9,1
4458.93,Credit Card,Electronics,4,39,Desktop,0,445,8,3,Saturday,11,1
3744.3,Debit Card,Home,2,31,Desktop,0,1183,4,2,Thursday,12,1
4454.51,PayPal,Groceries,1,58,Mobile,0,14,6,18,Friday,5,0
4467.77,PayPal,Clothing,4,44,Desktop,0,22,13,17,Thursday,11,1
2596.7,COD,Electronics,2,40,Mobile,0,1301,17,24,Saturday,6,1
1583.07,Credit Card,Home,3,18,Tablet,0,1766,7,14,Tuesday,1,1
3861.2,Credit Card,Beauty,2,50,Mobile,0,229,4,26,Friday,12,1
3310.0,Credit Card,Clothing,2,41,Mobile,0,1663,22,15,Monday,2,1
1871.42,PayPal,Home,1,20,Mobile,0,1512,2,9,Saturday,2,1
476.86,PayPal,Beauty,1,28,Desktop,0,1456,13,5,Sunday,7,0
3735.21,Credit Card,Home,1,55,Mobile,0,552,4,15,Saturday,9,1
1315.99,COD,Home,1,56,Desktop,0,1757,15,12,Saturday,6,0
4684.38,Debit Card,Clothing,2,43,Tablet,0,1222,9,16,Saturday,8,0
1208.65,PayPal,Sports,1,57,Tablet,0,376,1,30,Friday,11,1
618.18,COD,Sports,1,56,Tablet,0,1766,4,2,Friday,7,0
4156.41,Credit Card,Beauty,4,50,Desktop,0,570,11,11,Friday,10,1
770.66,COD,Sports,4,28,Mobile,0,1000,3,5,Thursday,8,1
900.45,COD,Home,2,39,Desktop,0,322,13,24,Monday,7,1
2998.92,COD,Home,4,60,Mobile,0,785,19,17,Monday,7,0
4373.44,Credit Card,Beauty,1,34,Mobile,0,1296,6,4,Thursday,12,1
986.19,Debit Card,Electronics,1,52,Mobile,1,1798,22,24,Tuesday,5,0
1555.07,Credit Card,Clothing,2,61,Tablet,0,882,17,4,Sunday,5,1
3888.14,Debit Card,Clothing,2,45,Tablet,0,1239,2,24,Sunday,10,1
4859.27,COD,Home,1,44,Desktop,0,214,11,30,Thursday,8,1
2506.2,COD,Clothing,4,27,Mobile,0,485,13,16,Friday,2,1
723.77,COD,Groceries,4,43,Tablet,0,1155,13,20,Friday,9,1
74.61,Debit Card,Groceries,2,20,Tablet,0,92,11,1,Tuesday,1,1
1152.13,COD,Beauty,2,23,Desktop,0,684,8,20,Wednesday,7,0
663.45,COD,Home,3,46,Tablet,0,129,13,5,Wednesday,4,1
3389.91,COD,Electronics,4,29,Tablet,0,986,16,13,Monday,3,1
613.55,COD,Beauty,2,36,Tablet,0,533,20,16,Monday,8,1
2534.12,PayPal,Groceries,3,36,Tablet,0,530,2,23,Wednesday,2,1
3472.84,Credit Card,Electronics,1,42,Mobile,0,928,3,24,Sunday,5,1
2907.68,Debit Card,Home,3,54,Mobile,0,330,12,28,Monday,2,0
1002.88,COD,Clothing,4,41,Mobile,0,1521,10,23,Thursday,2,1
4021.6,Debit Card,Groceries,2,61,Mobile,0,907,21,3,Friday,5,1
3578.46,Credit Card,Sports,3,43,Desktop,0,1806,13,21,Friday,8,1
3696.23,COD,Clothing,3,69,Tablet,0,460,5,6,Sunday,9,1
659.63,Debit Card,Sports,3,69,Mobile,0,133,20,29,Wednesday,12,0
623.15,COD,Groceries,3,40,Tablet,0,815,20,26,Wednesday,4,1
4638.17,Debit Card,Sports,4,57,Mobile,0,219,0,10,Thursday,5,1
1990.9,Debit Card,Sports,1,41,Tablet,0,770,21,3,Sunday,11,1
1508.24,Debit Card,Beauty,4,63,Desktop,0,1545,8,28,Friday,3,1
2445.48,Debit Card,Clothing,4,57,Desktop,0,1881,5,11,Monday,8,1
3316.01,Debit Card,Beauty,4,35,Desktop,1,921,2,26,Thursday,9,1
4778.34,Debit Card,Groceries,2,34,Tablet,0,381,1,3,Thursday,6,1
1435.8,COD,Sports,3,63,Desktop,0,781,1,8,Sunday,11,1
4624.42,Debit Card,Sports,2,46,Mobile,0,580,18,13,Friday,4,1
129.17,Debit Card,Home,4,54,Desktop,0,249,21,4,Friday,2,1
2778.21,COD,Sports,2,53,Desktop,0,1585,23,14,Wednesday,2,1
3171.71,Debit Card,Home,2,26,Tablet,0,1465,12,28,Saturday,7,1
533.96,Credit Card,Electronics,3,30,Desktop,0,598,6,6,Monday,7,1
706.0,Credit Card,Sports,1,64,Mobile,0,976,21,13,Tuesday,7,0
2098.48,Debit Card,Home,2,32,Mobile,1,965,21,3,Tuesday,5,1
4831.33,PayPal,Electronics,1,63,Tablet,0,867,9,20,Thursday,6,1
2982.23,COD,Electronics,2,36,Mobile,0,1526,4,13,Monday,12,1
4665.45,Credit Card,Beauty,2,62,Desktop,0,1399,20,16,Thursday,6,1
4022.78,PayPal,Sports,1,48,Mobile,0,18,8,16,Sunday,9,1
2339.57,Debit Card,Beauty,4,23,Mobile,0,456,12,20,Wednesday,11,1
3924.89,Debit Card,Groceries,2,32,Mobile,0,1913,21,23,Monday,2,1
94.09,Debit Card,Clothing,2,67,Desktop,1,833,3,30,Tuesday,3,1
550.17,Debit Card,Groceries,1,28,Tablet,0,931,7,22,Monday,7,1
4148.0,Credit Card,Clothing,4,29,Mobile,0,1524,5,26,Friday,9,1
3985.1,Credit Card,Clothing,4,25,Tablet,0,1521,18,3,Saturday,11,1
1167.04,PayPal,Electronics,2,49,Desktop,0,1135,2,4,Wednesday,9,1
2656.19,Credit Card,Home,2,60,Tablet,0,1842,3,14,Wednesday,12,1
3032.05,Debit Card,Clothing,2,66,Desktop,0,1183,7,5,Wednesday,12,1
4339.36,Credit Card,Electronics,4,64,Tablet,0,1754,9,26,Wednesday,12,0
3017.52,Credit Card,Clothing,1,63,Desktop,0,914,17,26,Friday,8,1
2065.79,Credit Card,Beauty,3,65,Tablet,0,448,22,18,Wednesday,10,1
1874.05,Debit Card,Home,4,47,Mobile,0,230,14,15,Wednesday,12,1
2132.28,Credit Card,Groceries,4,60,Tablet,0,1114,5,26,Sunday,4,1
3261.4,Credit Card,Home,4,51,Mobile,0,1783,15,18,Saturday,7,1
4338.12,Debit Card,Home,4,25,Mobile,0,827,16,29,Sunday,8,1
2272.21,Debit Card,Groceries,1,19,Tablet,0,1455,2,25,Wednesday,5,1
1242.96,Credit Card,Sports,1,23,Mobile,0,1069,22,11,Sunday,9,1
1187.13,Credit Card,Beauty,1,35,Mobile,0,1614,12,20,Wednesday,9,1
3731.34,COD,Clothing,3,43,Tablet,0,1561,18,4,Wednesday,11,1
4083.76,PayPal,Beauty,2,51,Desktop,0,1397,1,2,Sunday,3,1
530.86,Credit Card,Clothing,1,45,Desktop,0,715,22,3,Tuesday,11,0
337.46,Debit Card,Electronics,3,37,Mobile,0,829,23,30,Saturday,12,1
2974.2,Debit Card,Groceries,1,56,Tablet,0,959,22,4,Saturday,7,1
735.14,COD,Groceries,2,62,Mobile,0,1645,12,7,Sunday,6,1
4124.2,COD,Beauty,2,29,Desktop,0,1219,2,21,Saturday,4,1
1555.12,COD,Beauty,4,31,Mobile,0,351,10,6,Saturday,9,1
723.64,Credit Card,Electronics,3,66,Mobile,0,548,14,4,Wednesday,7,1
4605.25,Debit Card,Groceries,3,68,Mobile,0,630,10,21,Thursday,8,1
831.83,Debit Card,Beauty,4,34,Mobile,0,1217,10,29,Friday,12,1
1427.18,PayPal,Beauty,1,44,Desktop,0,1533,8,4,Wednesday,9,1
772.3,COD,Home,2,48,Tablet,0,306,16,20,Wednesday,7,1
581.87,Debit Card,Home,4,51,Tablet,0,1448,13,17,Saturday,2,1
110.63,PayPal,Home,3,62,Desktop,0,1247,17,29,Monday,2,0
281.7,Debit Card,Clothing,1,23,Tablet,0,421,1,29,Monday,9,1
877.33,Credit Card,Home,1,45,Desktop,0,295,5,17,Wednesday,6,1
271.64,Debit Card,Beauty,1,29,Desktop,0,302,21,27,Saturday,1,0
2957.76,PayPal,Electronics,1,57,Desktop,0,1553,19,7,Sunday,10,1
3405.17,Debit Card,Beauty,3,49,Mobile,0,478,16,18,Friday,9,1
1971.18,PayPal,Clothing,1,56,Desktop,0,396,9,6,Sunday,12,1
1593.37,PayPal,Electronics,4,65,Tablet,0,841,10,1,Tuesday,4,1
2525.11,Debit Card,Beauty,3,59,Desktop,0,1295,15,24,Monday,6,1
4375.65,COD,Groceries,4,62,Tablet,0,890,18,17,Thursday,8,1
4256.4,Credit Card,Groceries,2,60,Tablet,0,1166,10,1,Wednesday,10,1
222.16,COD,Home,4,50,Mobile,0,739,21,25,Sunday,3,1
911.58,Credit Card,Home,2,38,Desktop,0,856,8,27,Monday,4,1
1187.54,Debit Card,Home,3,35,Desktop,0,1173,7,12,Wednesday,8,1
1250.69,COD,Sports,1,36,Tablet,0,1294,16,1,Wednesday,5,1
2858.31,PayPal,Home,4,49,Desktop,0,1477,18,9,Friday,12,1
2084.23,Debit Card,Electronics,3,59,Desktop,0,1694,13,19,Wednesday,4,1
251.02,COD,Clothing,1,37,Tablet,0,664,22,2,Sunday,1,1
1871.2,Credit Card,Groceries,4,48,Tablet,0,249,20,12,Monday,9,1
2621.15,PayPal,Groceries,4,39,Desktop,0,194,4,7,Monday,10,1
512.85,PayPal,Groceries,1,49,Tablet,0,1356,18,19,Sunday,12,1
4168.13,Credit Card,Clothing,4,60,Mobile,0,867,19,7,Thursday,4,1
264.55,COD,Electronics,3,39,Tablet,0,826,20,24,Saturday,10,0
4624.59,COD,Electronics,2,38,Mobile,0,1469,12,10,Thursday,12,1
500.07,Credit Card,Sports,3,28,Tablet,0,1351,18,4,Sunday,8,1
4218.66,Credit Card,Groceries,4,43,Desktop,1,1829,17,9,Thursday,4,0
4513.75,Credit Card,Sports,2,41,Desktop,0,1751,22,29,Saturday,7,1
4897.96,Debit Card,Groceries,3,26,Mobile,0,1501,7,24,Sunday,8,0
4011.12,Debit Card,Clothing,1,68,Desktop,0,1309,3,18,Saturday,11,1
3898.49,PayPal,Groceries,4,62,Mobile,0,1795,18,7,Tuesday,6,0
3214.2,PayPal,Sports,4,33,Desktop,0,328,15,12,Saturday,12,1
3896.09,Credit Card,Home,1,67,Desktop,0,1911,23,14,Wednesday,4,1
677.09,Debit Card,Electronics,2,32,Mobile,0,838,1,30,Friday,10,1
2682.66,COD,Clothing,1,39,Desktop,0,504,0,10,Friday,9,1
2573.54,COD,Sports,2,24,Mobile,0,1103,11,25,Tuesday,8,1
4288.57,Debit Card,Electronics,2,49,Mobile,0,1788,14,9,Wednesday,8,1
2316.68,Credit Card,Sports,4,43,Mobile,0,262,20,5,Tuesday,10,1
1928.52,Credit Card,Sports,3,31,Desktop,0,355,16,24,Monday,2,1
3199.62,Debit Card,Clothing,4,33,Tablet,0,1290,17,3,Thursday,6,1
1335.98,Debit Card,Home,4,66,Desktop,0,1340,9,24,Tuesday,12,1
703.14,Debit Card,Home,3,53,Mobile,0,1429,13,28,Friday,6,1
2392.0,Credit Card,Beauty,1,25,Desktop,0,1797,3,5,Tuesday,2,1
2087.36,Debit Card,Beauty,4,25,Desktop,0,1527,16,18,Monday,12,1
1166.69,Debit Card,Electronics,4,21,Mobile,0,1625,3,5,Tuesday,10,0
1840.72,Debit Card,Clothing,1,30,Mobile,0,248,4,14,Thursday,7,1
1835.13,Credit Card,Sports,1,56,Mobile,0,720,3,14,Monday,12,1
1640.84,COD,Groceries,4,21,Mobile,0,1413,22,3,Sunday,7,1
1900.42,Debit Card,Clothing,2,30,Mobile,0,1641,4,6,Saturday,11,1
3430.29,Debit Card,Home,2,20,Desktop,0,738,5,17,Monday,2,1
1487.9,COD,Clothing,2,51,Tablet,1,1167,23,26,Sunday,6,1
4744.55,PayPal,Electronics,4,60,Tablet,0,430,4,9,Wednesday,7,0
4582.16,Credit Card,Beauty,2,45,Tablet,0,1732,13,26,Sunday,7,0
2407.15,Credit Card,Electronics,2,65,Desktop,0,1053,3,6,Sunday,5,0
1645.16,Credit Card,Sports,2,53,Tablet,0,199,10,1,Tuesday,1,1
2679.5,PayPal,Clothing,1,57,Tablet,0,1149,22,12,Wednesday,4,1
4243.56,Debit Card,Electronics,1,34,Desktop,0,536,7,1,Tuesday,10,1
3264.67,Debit Card,Beauty,2,62,Mobile,0,918,11,2,Monday,12,1
4022.94,PayPal,Clothing,1,50,Desktop,0,700,21,10,Thursday,1,1
2665.95,PayPal,Groceries,4,22,Desktop,0,1683,12,18,Friday,12,0
3166.42,Credit Card,Groceries,2,22,Tablet,0,1694,22,29,Thursday,12,1
1444.34,Credit Card,Home,3,64,Mobile,0,320,9,19,Sunday,12,1
3675.79,COD,Groceries,2,32,Desktop,0,654,5,21,Monday,4,1
1016.01,COD,Clothing,4,42,Mobile,0,820,0,21,Tuesday,5,1
3475.52,COD,Clothing,2,57,Desktop,0,1710,9,16,Sunday,3,1
4304.29,COD,Clothing,1,57,Mobile,1,541,1,1,Tuesday,8,1
664.85,Debit Card,Electronics,2,19,Desktop,0,1405,13,11,Wednesday,2,0
3073.83,COD,Home,1,50,Mobile,1,107,0,6,Thursday,4,1
480.0,COD,Groceries,3,65,Tablet,0,1918,2,17,Tuesday,7,1
3629.95,COD,Electronics,3,36,Tablet,0,684,12,24,Thursday,6,1
